"Measure.ID","Score","Score_numeric"
"SEV_SEP_6HR","89",89
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR","90",90
"SEV_SEP_6HR","98",98
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","99",99
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","86",86
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","93",93
"SEV_SEP_6HR","99",99
"SEV_SEP_6HR","98",98
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","98",98
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","98",98
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR","97",97
"SEV_SEP_6HR","99",99
"SEV_SEP_6HR","83",83
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR","97",97
"SEV_SEP_6HR","97",97
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR","93",93
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","87",87
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR","88",88
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","88",88
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","88",88
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","88",88
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","97",97
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","93",93
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR","73",73
"SEV_SEP_6HR","82",82
"SEV_SEP_6HR","50",50
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR","84",84
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","93",93
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR","25",25
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","82",82
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","98",98
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","97",97
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","83",83
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","38",38
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","98",98
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","85",85
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","81",81
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR","98",98
"SEV_SEP_6HR","88",88
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","97",97
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","53",53
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","28",28
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR","75",75
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","86",86
"SEV_SEP_6HR","88",88
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","82",82
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","93",93
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","64",64
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","97",97
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","95",95
"SEV_SEP_6HR","92",92
"SEV_SEP_6HR","93",93
"SEV_SEP_6HR","88",88
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","97",97
"SEV_SEP_6HR","99",99
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","91",91
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","84",84
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","99",99
"SEV_SEP_6HR","89",89
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","90",90
"SEV_SEP_6HR","98",98
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","94",94
"SEV_SEP_6HR","96",96
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR","99",99
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR",NA,NA
"SEV_SEP_6HR","100",100
"SEV_SEP_6HR",NA,NA
